peak	gene	cluster	t_test	wilcoxon_test	ks_test	log2ratio	control_mean	experiment_mean	control_sd	experiment_sd	control_se	experiment_se	control_skewness	experiment_skewness	control_kurtosis	experiment_kurtosis
ldopa-peak-38021	Jup	cluster_4	0.0068	0.0159	0.0159	1.2652	0.483	1.161	0.2878	0.2365	0.1287	0.1182	1.6757	1.5075	2.9954	4.7432
ldopa-peak-79261	Nr4a1	cluster_4	3e-04	0.0159	0.0159	2.2317	0.1406	0.6606	0.0604	0.1613	0.027	0.0806	3.0369	1.3611	11.3321	1.5755
ldopa-peak-99898	Egr1	cluster_4	0.0024	0.0159	0.0159	1.442	0.5572	1.514	0.2377	0.3823	0.1063	0.1912	2.6143	1.0275	11.6894	0.6378
ldopa-peak-126388	Slc32a1	cluster_4	0.0019	0.0159	0.0159	0.5302	0.4747	0.6855	0.0787	0.0405	0.0352	0.0202	1.8141	1.61	3.8028	2.9352
ldopa-peak-201965	Junb	cluster_4	0.0051	0.0317	0.0794	1.7579	0.1863	0.63	0.0985	0.224	0.0441	0.112	2.6337	1.3568	7.9296	1.6813
ldopa-peak-58519	Homer1	cluster_5	0.0078	0.0317	0.0794	0.8635	0.3443	0.6264	0.1117	0.1175	0.05	0.0588	2.4388	1.3365	7.5308	1.801
ldopa-peak-79261	Nr4a1	cluster_5	0.0047	0.0317	0.0794	1.8587	0.9765	3.5416	0.4032	1.3547	0.1803	0.6773	1.687	1.0125	4.9015	1.4343
ldopa-peak-99898	Egr1	cluster_5	0.001	0.0159	0.0159	1.4385	3.3524	9.0865	0.9697	2.1423	0.4337	1.0712	2.1543	0.8009	10.867	0.6761
ldopa-peak-175413	Egr4	cluster_5	0.0061	0.0159	0.0159	1.9136	0.6463	2.4348	0.1421	1.0379	0.0636	0.519	1.5305	1.3029	2.1998	2.7044
ldopa-peak-201965	Junb	cluster_5	0.0073	0.0317	0.0794	1.9977	0.508	2.0289	0.3938	0.8077	0.1761	0.4039	2.5097	0.9488	11.4768	0.6872
ldopa-peak-33680	Arrb2	cluster_6	0.0094	0.0159	0.0159	0.5046	0.449	0.637	0.0887	0.0639	0.0397	0.032	1.7081	1.068	3.5545	0.6043
ldopa-peak-48096	Fos	cluster_6	8e-04	0.0159	0.0159	2.4402	0.1325	0.7189	0.1063	0.2041	0.0476	0.102	3.8451	1.699	21.7404	3.0294
ldopa-peak-75679	Arc	cluster_6	0.0076	0.0159	0.0159	1.7677	0.4109	1.3992	0.1353	0.5874	0.0605	0.2937	2.1344	1.4407	6.1901	2.3187
